Profile,Lat,Long,Depth,Symbol,SiBCS,Soil taxonomy,Soil order,PM,Lab_SOM,LAB_L_dry,LAB_A_dry,LAB_B_dry,LAB_L_moist,LAB_A_moist,LAB_B_moist,pXRF_Ag,pXRF_Al2O3,pXRF_As,pXRF_Bi,pXRF_CaO,pXRF_Ce,pXRF_Cl,pXRF_Cr,pXRF_Cu,pXRF_Fe,pXRF_K2O,pXRF_Mn,pXRF_Mo,pXRF_Nb,pXRF_Ni,pXRF_P2O5,pXRF_Pb,pXRF_Rb,pXRF_SiO2,pXRF_Sr,pXRF_Ta,pXRF_Ti,pXRF_Tl,pXRF_V,pXRF_Y,pXRF_Zn,pXRF_Zr
5,7652319.46175,501444.417963,60-100,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,0.0580046403712297,56.67,19.37,20.25,38.52,20.4,17.42,13,308821,0,0,585,744,501,129,15,34848,7705,23,0,0,109,0,8,5,352885,14,19,3284,12,32,3,55,180
5,7652319.46175,501444.417963,20-60,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,0.0580046403712297,53.62,16.87,22.06,38.2,19.78,20.09,0,258800,0,0,497,1188,707,219,19,41330,5249,55,0,0,116,0,0,5,288536,17,16,4436,13,0,0,43,163
5,7652319.46175,501444.417963,20-60,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,0.1740139211136891,54.45,18.09,31.45,37.93,18.1,23.77,0,177335,3,0,0,1303,622,1099,19,66091,5026,840,0,0,79,206,18,11,215048,12,11,7693,0,32,0,43,177
10,7652293,501532,0-20,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,2.146171693735499,61,15.16,32.7,43.69,16.99,30.03,0,176567,0,0,4513,0,520,60,12,22196,3313,312,0,0,25,186,0,8,324071,16,5,4696,0,0,0,34,222
11,7652653,501608,0-20,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,2.2041763341067284,51.87,11.57,24.46,35.1,13.61,22.24,0,203419,2,0,922,0,400,346,19,36234,2509,270,0,0,67,271,30,0,338519,2,10,4190,0,0,0,34,164
20,7652119,501923,0-20,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,1.6821345707656612,47.71,22.26,27.77,34.81,21.84,22.76,0,220167,0,0,762,0,748,147,13,38786,5219,180,0,0,17,0,0,11,318825,5,15,6309,45,20,0,22,235
4,7652321,501439,0-20,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,0.4640371229698376,42.21,14.88,21.2,33.19,15.91,19.33,0,184106,0,0,57,386,391,205,14,37592,4848,225,0,0,52,440,14,13,284965,13,11,5236,0,0,0,40,178
109,7653164,503714,0-20,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,3.248259860788863,49.52,9.88,19.97,30.35,9.86,14.82,0,141391,3,0,5216,0,616,198,29,33952,25849,875,0,6,59,542,19,75,414752,17,0,5250,0,47,21,43,156
109,7653164,503714,60-100,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,0.4640371229698376,52.8,15.21,24.36,35.62,17.12,20.81,8,150617,2,11,1155,387,824,241,39,43987,20889,541,0,5,81,0,33,93,319935,11,0,5387,0,0,36,41,178
3,7652426,501339,0-20,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,2.494199535962877,57.88,7.68,16.93,32.93,7.37,12.55,0,240207,0,0,1341,0,507,41,12,23081,5085,383,0,0,9,517,18,10,388739,11,10,2894,0,0,0,32,142
3,7652426,501339,60-100,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,0.6960556844547564,68.85,10.67,23.5,48.65,14.73,25.02,0,213858,0,0,348,0,630,25,8,23494,5014,70,0,0,9,252,0,9,338863,7,15,2831,0,0,0,45,156
10,7652293,501532,60-100,CX,Cambissolo Háplico,Typic Dystrustepts,Inceptisols,Gneiss,0.7540603248259861,43.63,19.14,25.98,30.94,17.65,19.22,0,224327,0,0,656,0,417,85,11,26384,3415,138,0,0,27,0,0,4,342172,8,12,4973,0,0,0,38,226
